Symbol,Date,Time,Bid_Price,Ask_Price,Bid_Size,Ask_Size
ESU13,09/01/2013,17:53:29.038,1641.25,1641.5,63,34
ESU13,09/01/2013,17:53:33.221,1641.25,1641.5,63,37
ESU13,09/01/2013,17:53:38.674,1641.25,1641.5,64,37
ESU13,09/01/2013,17:53:38.674,1641.25,1641.5,64,40
ESU13,09/01/2013,17:53:38.674,1641.25,1641.5,64,43
ESU13,09/01/2013,17:53:44.663,1641.25,1641.5,70,43
ESU13,09/01/2013,17:53:47.086,1641.25,1641.5,64,43
ESU13,09/01/2013,17:53:47.500,1641.25,1641.5,65,43
ESU13,09/01/2013,17:53:51.100,1641.25,1641.5,65,38
ESU13,09/01/2013,17:53:51.100,1641.25,1641.5,65,35
ESU13,09/01/2013,17:53:51.100,1641.25,1641.5,65,32
ESU13,09/01/2013,17:53:53.529,1641.25,1641.5,64,32
ESU13,09/01/2013,17:53:57.087,1641.25,1641.5,64,30
ESU13,09/01/2013,17:53:57.087,1641.25,1641.5,64,33
ESU13,09/01/2013,17:53:59.733,1641.25,1641.5,64,35
ESU13,09/01/2013,17:53:59.733,1641.25,1641.5,64,38
ESU13,09/01/2013,17:54:35.673,1641.25,1641.5,65,38
ESU13,09/01/2013,17:54:51.785,1641.25,1641.5,63,38
ESU13,09/01/2013,17:55:00.745,1641.25,1641.5,59,38
ESU13,09/01/2013,17:55:22.352,1641.25,1641.5,55,38
ESU13,09/01/2013,17:55:26.055,1641.25,1641.5,52,38
ESU13,09/01/2013,17:55:30.604,1641.25,1641.5,62,38
ESU13,09/01/2013,17:55:31.839,1641.25,1641.5,72,38
ESU13,09/01/2013,17:55:32.013,1641.25,1641.5,73,38
ESU13,09/01/2013,17:55:36.646,1641.25,1641.5,72,38
ESU13,09/01/2013,17:55:39.320,1641.25,1641.5,72,37
ESU13,09/01/2013,17:55:39.879,1641.25,1641.5,71,37
ESU13,09/01/2013,17:55:40.471,1641.25,1641.5,71,27
ESU13,09/01/2013,17:55:40.471,1641.25,1641.5,71,24
ESU13,09/01/2013,17:55:40.471,1641.25,1641.5,71,21
ESU13,09/01/2013,17:55:40.471,1641.25,1641.5,71,18
ESU13,09/01/2013,17:55:41.134,1641.25,1641.5,71,17
ESU13,09/01/2013,17:55:41.815,1641.25,1641.5,71,18
ESU13,09/01/2013,17:55:43.115,1641.25,1641.5,76,18
ESU13,09/01/2013,17:55:43.674,1641.5,1641.5,57,18
ESU13,09/01/2013,17:55:43.674,1641.5,1641.75,57,93
ESU13,09/01/2013,17:55:43.674,1641.5,1641.75,57,93
ESU13,09/01/2013,17:55:43.674,1641.5,1641.75,60,93
